service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
93,1,1,1,1,1,0,0,20231130,20240329
95,0,0,0,0,0,1,0,20231202,20240330
102,0,0,0,0,0,0,1,20240331,20241124
94,0,0,0,0,1,0,0,20231201,20240329
96,1,0,0,0,0,0,1,20231203,20240325
101,1,0,0,0,0,0,1,20240331,20241125
13,0,0,0,0,1,0,0,20231201,20241129
14,1,1,1,1,0,0,0,20231130,20241128
97,0,0,0,0,0,0,1,20231203,20240324
98,1,1,1,1,1,0,0,20240401,20241129
99,0,0,0,0,1,0,0,20240405,20241129
100,0,0,0,0,0,1,0,20240406,20241123
