trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
3183_1,06:55:00,06:55:00,8320B1521001,1,"Kingsbury, stop 5114",0,1,1
3183_1,06:56:00,06:56:00,832000043,2,,0,0,1
3183_1,07:01:00,07:01:00,8320PB002737,3,,0,0,1
3183_1,07:07:00,07:07:00,832000069,4,,0,0,1
3183_1,07:08:00,07:08:00,8320B1312602,5,,0,0,1
3183_1,07:09:00,07:09:00,832000003,6,,0,0,1
3183_1,07:15:00,07:15:00,832000041,7,,0,0,1
3183_1,07:19:00,07:19:00,8320B1360001,8,,0,0,1
3183_1,07:20:00,07:20:00,8320PB002734,9,,0,0,1
3183_1,07:21:00,07:21:00,832000024,10,,0,0,1
3183_1,07:25:00,07:25:00,832000063,11,,0,0,1
3183_1,07:26:00,07:26:00,832000080,12,,0,0,1
3183_1,07:30:00,07:30:00,8320B102921,13,,0,0,1
3183_1,07:31:00,07:31:00,832000077,14,,0,0,1
3183_1,07:32:00,07:32:00,832000082,15,,0,0,1
3183_1,07:33:00,07:33:00,832000029,16,,0,0,1
3183_1,07:34:00,07:34:00,832000014,17,,0,0,1
3183_1,07:42:00,07:42:00,833000010,18,,0,0,1
3183_1,07:47:00,07:47:00,8330B150641,19,,0,0,1
3183_1,07:52:00,07:52:00,8330B150631,20,,0,0,1
3183_1,07:53:00,07:53:00,833000002,21,,0,0,1
3183_1,07:58:00,07:58:00,8330B150621,22,,0,0,1
3183_1,08:10:00,08:10:00,8330B1354401,23,,0,0,1
3183_1,08:15:00,08:15:00,8310B103241,24,,0,0,1
3183_1,08:20:00,08:20:00,8260B1033701,25,,0,0,1
3183_1,08:30:00,08:30:00,8310B103381,26,,0,0,1
3183_1,08:35:00,08:35:00,8260B1034001,27,,0,0,1
3183_1,08:50:00,08:50:00,8260B1034301,28,,0,0,1
3183_1,08:55:00,08:55:00,8260DB003917,29,,0,0,1
3183_1,08:57:00,08:57:00,8260DB005114,30,,0,0,1
3183_2,06:55:00,06:55:00,8320B1521001,1,"Kingsbury, stop 5114",0,1,1
3183_2,06:56:00,06:56:00,832000043,2,,0,0,1
3183_2,07:01:00,07:01:00,8320PB002737,3,,0,0,1
3183_2,07:07:00,07:07:00,832000069,4,,0,0,1
3183_2,07:08:00,07:08:00,8320B1312602,5,,0,0,1
