stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB006032,6032,Cathal Brugha Street,,53.3520595408087,-6.26029069507579,,,,
8260B1337302,133732,Kelleghers Cross,,53.4201256081706,-6.73621535751597,,,,
8260B1340301,134031,Kilcock,,53.3990669913034,-6.66751580948953,,,,
8320B1521001,152101,Birr,,53.0964053443443,-7.91077337100467,,,,
8320PB002720,,Tullamore General Hospital,,53.2828109086505,-7.49194315936737,,,,
833000007,,Supermarket Bus Stop,,53.4171618112641,-7.29610561996086,,,,
833000008,,Supermarket Bus Stop,,53.4171609246396,-7.29595520192244,,,,
833000010,,Kilbeggan NS,,53.3675855918387,-7.4940003499704,,,,
833000012,,Kilbeggan NS,,53.3677139495142,-7.49459985638806,,,,
833000027,,Main Street,,53.4544847254215,-7.1005513512105,,,,
8330B1354401,135441,Kinnegad,,53.4546178099968,-7.1003226882956,,,,
8460PB002253,,Merchants Road,,53.271557928214,-9.05119542988732,,,,
8220DB000762,762,RTE,,53.3145170648478,-6.22437094406494,,,,
8220DB000786,786,Embassy of Malta,,53.335182,-6.256098,,,,
8260GD10267,10267,Carbury,,53.3533658365584,-6.96370656344489,,,,
8220DB001013,1013,Earlsfort Terrace,,53.334181,-6.258346,,,,
8220DB007435,7435,Memorial Gardens,,53.3431789302748,-6.31538083570428,,,,
832000002,,The Priory,,53.1793159199527,-7.71715851331775,,,,
832000017,,McAuley Drive,,53.1018940476865,-7.90744694741591,,,,
832000029,,Centra,,53.2894077867523,-7.49625937177658,,,,
832000040,,Blueball,,53.2284520587932,-7.6155767284696,,,,
832000082,,Arden Vale,,53.2852770851546,-7.49281371173356,,,,
832000111,,Charleville Road,,53.26941,-7.50051,,,,
8460B5228301,522831,Woodhaven,,53.2764850154505,-9.00510422480431,,,,
8460B5229701,522971,The G Hotel,,53.281658,-9.032938,,,,
8470B135984,135984,Portumna,,53.0917211669223,-8.22144505214478,,,,
8220CO10996,10996,Parkgate Street,,53.347888,-6.290712,,,,
8220DB000021,21,DCU St Patrick's,,53.3701011992947,-6.25431059904442,,,,
8310B1332301,133231,Enfield,,53.413983963651,-6.82844435400106,,,,
8330B152171,152171,Sherwell Court,,53.3874509615894,-7.37874982350607,,,,
8330B1522101,152211,Rochfortbridge,,53.4129778440925,-7.30291342571914,,,,
8460B5243201,524321,Castlegar GAA Club,,53.277442516671,-8.97639727167632,,,,
8460B5244001,524401,Snipe Avenue,,53.2814570455463,-9.06493472467212,,,,
8460B5244601,524461,St Joseph's NS,,53.2834996934633,-9.07267882012999,,,,
8470B1359802,135982,Portumna,,53.091685245713,-8.2214299385154,,,,
8220DB000409,409,Holles Street,,53.3401367313169,-6.24769559556976,,,,
8260B1337301,133731,Kelleghers Cross,,53.4201256081706,-6.73621535751597,,,,
8320B1360001,136001,Screggan,,53.247809594027,-7.55828581049568,,,,
8320B1360002,136002,Screggan,,53.2478890313388,-7.5578954179516,,,,
8320PB002734,,Beechmount Park,,53.2500585336859,-7.55163954652877,,,,
8320PB002737,,Fivealley,,53.1522696407798,-7.83459094095056,,,,
8220DB000756,756,Royal Hospital,,53.3263997617783,-6.2425987467031,,,,
