route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
3183_40446,13,3183_1,"Kingsbury, stop 5114",2.Fri.43-NUM-2-y11-6,0,3183_7778049_Txc100191,3183_1
3183_40446,14,3183_2,"Kingsbury, stop 5114",2.M-T.43-NUM-2-y11-6,0,3183_7778049_Txc100192,3183_1
3183_40446,13,3183_3,"Kingsbury, stop 5114",3.Fri.43-NUM-2-y11-6,0,3183_7778049_Txc100193,3183_1
3183_40446,14,3183_4,"Kingsbury, stop 5114",3.M-T.43-NUM-2-y11-6,0,3183_7778049_Txc100194,3183_1
3183_40446,13,3183_5,"Columcille Street, stop 104531",1.Fri.43-NUM-2-y11-6,1,3183_7778049_Txc100189,3183_2
3183_40446,14,3183_6,"Birr, stop 152181",4.M-T.43-NUM-2-y11-6,1,3183_7778049_Txc100196,3183_3
3183_40446,14,3183_7,"Birr, stop 152181",1.M-T.43-NUM-2-y11-6,1,3183_7778049_Txc100190,3183_3
3183_40446,13,3183_8,"Birr, stop 152181",4.Fri.43-NUM-2-y11-6,1,3183_7778049_Txc100195,3183_3
3574_40488,93,3574_1,"Enfield, stop 103381",1.Mo-Fr.11-820-y11-2,0,3574_7778049_Txc108896,3574_1
3574_53725,93,3574_10,Birr,4,1,3574_7778049_4,3574_4
3574_40490,94,3574_11,Merchants Road Galway,1.Fri.11-844-y11-4.4,0,3574_7778049_Txc108902,3574_5
3574_40490,95,3574_12,Merchants Road Galway,1.Sat.11-844-y11-4.4,0,3574_7778049_Txc108903,3574_5
3574_40490,96,3574_13,"Eyre Square, stop 523011",1.SunBH.11-844-y11-4,0,3574_7778049_Txc108904,3574_6
3574_40490,94,3574_14,Merchants Road Galway,2.Fri.11-844-y11-4.4,0,3574_7778049_Txc108905,3574_5
3574_40490,95,3574_15,Merchants Road Galway,2.Sat.11-844-y11-4.4,0,3574_7778049_Txc108906,3574_5
3574_40490,96,3574_16,O'Donnell Road,2.SunBH.11-844-y11-4,0,3574_7778049_Txc108907,3574_7
3574_40490,94,3574_17,"Birr, stop 152101",3.Fri.11-844-y11-4.1,1,3574_7778049_Txc108908,3574_8
3574_40490,95,3574_18,"Birr, stop 152101",3.Sat.11-844-y11-4.1,1,3574_7778049_Txc108909,3574_9
3574_40490,96,3574_19,"Birr, stop 152101",3.SunBH.11-844-y11-4,1,3574_7778049_Txc108910,3574_8
3574_40488,93,3574_2,"Edenderry Town Hall, stop 102821",2.Mo-Fr.11-820-y11-2,1,3574_7778049_Txc108897,3574_2
3574_40490,94,3574_20,"Birr, stop 152101",4.Fri.11-844-y11-4.1,1,3574_7778049_Txc108911,3574_8
3574_40490,95,3574_21,"Birr, stop 152101",5.Sat.11-844-y11-4.1,1,3574_7778049_Txc108913,3574_8
3574_40490,96,3574_22,"Birr, stop 152101",4.SunBH.11-844-y11-4,1,3574_7778049_Txc108912,3574_8
3574_40491,93,3574_23,"Earlsfort Terrace, stop 1013",2.Mo-Fr.11-845-y11-7,0,3574_7778049_Txc108925,3574_16
3574_40491,93,3574_24,"Earlsfort Terrace, stop 1013",1.Mo-Fr.11-845-y11-7,0,3574_7778049_Txc108914,3574_10
3574_40491,93,3574_25,"Earlsfort Terrace, stop 1013",3.Mo-Fr.11-845-y11-7,0,3574_7778049_Txc108933,3574_11
3574_40491,93,3574_26,"Earlsfort Terrace, stop 1013",9.Mo-Fr.11-845-y11-7,0,3574_7778049_Txc108939,3574_18
3574_40491,93,3574_27,"Earlsfort Terrace, stop 1013",16.Mo-Fr.11-845-y11-,0,3574_7778049_Txc108921,3574_11
3574_40491,93,3574_28,"Cranford Court, stop 764",13.Mo-Fr.11-845-y11-,0,3574_7778049_Txc108918,3574_12
3574_40491,93,3574_29,"Earlsfort Terrace, stop 1013",10.Mo-Fr.11-845-y11-,0,3574_7778049_Txc108915,3574_11
3574_40488,93,3574_3,"Edenderry Town Hall, stop 102821",3.Mo-Fr.11-820-y11-2,1,3574_7778049_Txc108898,3574_2
3574_40491,93,3574_30,"Earlsfort Terrace, stop 1013",20.Mo-Fr.11-845-y11-,0,3574_7778049_Txc108926,3574_16
3574_40491,93,3574_31,"Earlsfort Terrace, stop 1013",5.Mo-Fr.11-845-y11-7,0,3574_7778049_Txc108935,3574_11
3574_40491,93,3574_32,"Earlsfort Terrace, stop 1013",18.Mo-Fr.11-845-y11-,0,3574_7778049_Txc108923,3574_15
3574_40491,93,3574_33,"Earlsfort Terrace, stop 1013",17.Mo-Fr.11-845-y11-,0,3574_7778049_Txc108922,3574_14
3574_40491,93,3574_34,"Earlsfort Terrace, stop 1013",14.Mo-Fr.11-845-y11-,0,3574_7778049_Txc108919,3574_13
3574_40491,93,3574_35,"Earlsfort Terrace, stop 1013",19.Mo-Fr.11-845-y11-,0,3574_7778049_Txc108924,3574_13
3574_40491,93,3574_36,"Earlsfort Terrace, stop 1013",22.Mo-Fr.11-845-y11-,0,3574_7778049_Txc108928,3574_17
3574_40491,93,3574_37,Main Street,21.Mo-Fr.11-845-y11-,1,3574_7778049_Txc108927,3574_21
3574_40491,93,3574_38,"Birr, stop 152181",11.Mo-Fr.11-845-y11-,1,3574_7778049_Txc108916,3574_19
3574_40491,93,3574_39,Main Street,23.Mo-Fr.11-845-y11-,1,3574_7778049_Txc108929,3574_21
3574_53725,93,3574_4,Tullamore Hospital,1,0,3574_7778049_1,3574_3
3574_40491,93,3574_40,Columcille Street,24.Mo-Fr.11-845-y11-,1,3574_7778049_Txc108930,3574_22
3574_40491,93,3574_41,"Birr, stop 152181",6.Mo-Fr.11-845-y11-7,1,3574_7778049_Txc108936,3574_24
